Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 07:27:43.717,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:44.717,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:45.719,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:46.720,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:47.718,0.102539,0.131836,0.244141,0.117187,0.385742,0.830078,1
17/11/2017 07:27:48.721,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:49.722,0.102539,0.131836,0.244141,0.12207,0.385742,0.830078,1
17/11/2017 07:27:50.722,0.102539,0.131836,0.244141,0.117187,0.385742,0.830078,1
17/11/2017 07:27:51.720,0.102539,0.131836,0.244141,0.12207,0.385742,0.834961,1
17/11/2017 07:27:52.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:53.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:54.721,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:55.722,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:56.721,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:57.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:58.721,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:27:59.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:00.718,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:01.722,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:02.722,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:03.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:04.719,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:05.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:06.718,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:07.723,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:08.721,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:09.721,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:10.725,0.102539,0.131836,0.244141,0.117187,0.385742,0.839844,1
17/11/2017 07:28:11.723,0.102539,0.131836,0.244141,0.117187,0.385742,0.834961,1
17/11/2017 07:28:12.723,0.102539,0.131836,0.249023,0.117187,0.385742,0.839844,1
17/11/2017 07:28:13.723,0.102539,0.131836,0.244141,0.117187,0.385742,0.839844,1
17/11/2017 07:28:14.722,0.102539,0.131836,0.244141,0.117187,0.385742,0.839844,1
17/11/2017 07:28:15.720,0.102539,0.131836,0.244141,0.117187,0.385742,0.839844,1
17/11/2017 07:28:16.725,0.102539,0.131836,0.249023,0.117187,0.385742,0.839844,1
17/11/2017 07:28:17.724,0.102539,0.131836,0.249023,0.117187,0.385742,0.839844,1
